iShares Global Tech ETF
Fund Holdings as of,"Mar 27, 2026"
Inception Date,"Nov 12, 2001"
Shares Outstanding,"62,950,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"FSLR","FIRST SOLAR INC","Information Technology","Equity","7,442,432.19","0.12","7,442,432.19","39,111.00","190.29","United States","NASDAQ","USD","1.00","USD","-"
"NTAP","NETAPP INC","Information Technology","Equity","7,387,822.26","0.12","7,387,822.26","72,189.00","102.34","United States","NASDAQ","USD","1.00","USD","-"
"HEXA B","HEXAGON CLASS B","Information Technology","Equity","7,245,443.27","0.12","7,245,443.27","766,172.00","9.46","Sweden","Nasdaq Omx Nordic","USD","9.46","SEK","-"
"HLMA","HALMA PLC","Information Technology","Equity","6,841,153.56","0.11","6,841,153.56","138,371.00","49.44","United Kingdom","London Stock Exchange","USD","0.75","GBP","-"
"HPQ","HP INC","Information Technology","Equity","6,504,254.64","0.11","6,504,254.64","334,581.00","19.44","United States","NYSE","USD","1.00","USD","-"
"6920","LASERTEC CORP","Information Technology","Equity","6,310,737.14","0.10","6,310,737.14","28,900.00","218.36","Japan","Tokyo Stock Exchange","USD","160.15","JPY","-"
"CAP","CAPGEMINI","Information Technology","Equity","6,177,730.34","0.10","6,177,730.34","55,742.00","110.83","France","Nyse Euronext - Euronext Paris","USD","0.87","EUR","-"
"AKAM","AKAMAI TECHNOLOGIES INC","Information Technology","Equity","6,004,036.50","0.10","6,004,036.50","52,437.00","114.50","United States","NASDAQ","USD","1.00","USD","-"
"PTC","PTC INC","Information Technology","Equity","5,968,420.92","0.10","5,968,420.92","43,372.00","137.61","United States","NASDAQ","USD","1.00","USD","-"
"FFIV","F5 INC","Information Technology","Equity","5,809,069.98","0.09","5,809,069.98","20,601.00","281.98","United States","NASDAQ","USD","1.00","USD","-"
"CDW","CDW CORP","Information Technology","Equity","5,607,639.18","0.09","5,607,639.18","47,454.00","118.17","United States","NASDAQ","USD","1.00","USD","-"
"TRMB","TRIMBLE INC","Information Technology","Equity","5,460,506.52","0.09","5,460,506.52","86,716.00","62.97","United States","NASDAQ","USD","1.00","USD","-"
"BESI","BE SEMICONDUCTOR INDUSTRIES NV","Information Technology","Equity","5,421,648.39","0.09","5,421,648.39","26,915.00","201.44","Netherlands","Euronext Amsterdam","USD","0.87","EUR","-"
"TYL","TYLER TECHNOLOGIES INC","Information Technology","Equity","5,238,926.52","0.09","5,238,926.52","15,684.00","334.03","United States","NYSE","USD","1.00","USD","-"
"GIB.A","CGI INC CLASS A","Information Technology","Equity","4,941,120.18","0.08","4,941,120.18","69,482.00","71.11","Canada","Toronto Stock Exchange","USD","1.39","CAD","-"
"LOGN","LOGITECH INTERNATIONAL SA","Information Technology","Equity","4,657,476.29","0.08","4,657,476.29","51,570.00","90.31","Switzerland","SIX Swiss Exchange","USD","0.80","CHF","-"
"DSY","DASSAULT SYSTEMES","Information Technology","Equity","4,584,205.55","0.07","4,584,205.55","239,637.00","19.13","France","Nyse Euronext - Euronext Paris","USD","0.87","EUR","-"
"4307","NOMURA RESEARCH INSTITUTE LTD","Information Technology","Equity","4,215,930.56","0.07","4,215,930.56","158,600.00","26.58","Japan","Tokyo Stock Exchange","USD","160.15","JPY","-"
"7735","SCREEN HOLDINGS LTD","Information Technology","Equity","4,086,571.54","0.07","4,086,571.54","34,300.00","119.14","Japan","Tokyo Stock Exchange","USD","160.15","JPY","-"
