iShares MSCI Global Metals & Mining Producers ETF
Fund Holdings as of,"Mar 27, 2026"
Inception Date,"Jan 31, 2012"
Shares Outstanding,"31,650,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"JSL","JINDAL STAINLESS LTD","Materials","Equity","2,954,839.90","0.17","2,954,839.90","393,790.00","7.50","India","National Stock Exchange Of India","USD","94.80","INR","-"
"ERO","ERO COPPER CORP","Materials","Equity","2,936,552.73","0.17","2,936,552.73","117,310.00","25.03","Canada","Toronto Stock Exchange","USD","1.39","CAD","-"
"NGEX","NGEX MINERALS LTD","Materials","Equity","2,854,420.59","0.17","2,854,420.59","167,974.00","16.99","Canada","Toronto Stock Exchange","USD","1.39","CAD","-"
"BRMS","BUMI RESOURCES MINERALS","Materials","Equity","2,841,414.56","0.17","2,841,414.56","67,893,800.00","0.04","Indonesia","Indonesia Stock Exchange","USD","16,965.00","IDR","-"
"LTR","LIONTOWN LTD","Materials","Equity","2,783,002.83","0.16","2,783,002.83","2,288,992.00","1.22","Australia","Asx - All Markets","USD","1.45","AUD","-"
"SGM","SIMS LTD","Materials","Equity","2,688,142.75","0.16","2,688,142.75","197,588.00","13.60","Australia","Asx - All Markets","USD","1.45","AUD","-"
"HILS","HILL AND SMITH PLC","Materials","Equity","2,668,455.43","0.16","2,668,455.43","95,156.00","28.04","United Kingdom","London Stock Exchange","USD","0.75","GBP","-"
"EREGL.E","EREGLI DEMIR VE CELIK FABRIKALARI","Materials","Equity","2,612,707.24","0.15","2,612,707.24","4,163,452.00","0.63","Turkey","Istanbul Stock Exchange","USD","44.46","TRY","-"
"2027","TA CHEN STAINLESS PIPE LTD","Materials","Equity","2,606,218.19","0.15","2,606,218.19","2,270,721.00","1.15","Taiwan","Taiwan Stock Exchange","USD","31.89","TWD","-"
"TKO","TASEKO MINES LTD","Materials","Equity","2,574,898.36","0.15","2,574,898.36","431,179.00","5.97","Canada","Toronto Stock Exchange","USD","1.39","CAD","-"
"5741","UACJ CORP","Materials","Equity","2,477,400.18","0.14","2,477,400.18","176,252.00","14.06","Japan","Tokyo Stock Exchange","USD","160.15","JPY","-"
"OUT1V","OUTOKUMPU","Materials","Equity","2,414,455.37","0.14","2,414,455.37","453,438.00","5.32","Finland","Nasdaq Omx Helsinki Ltd.","USD","0.87","EUR","-"
"004020","HYUNDAI STEEL","Materials","Equity","2,395,184.92","0.14","2,395,184.92","103,253.00","23.20","Korea (South)","Korea Exchange (Stock Market)","USD","1,508.80","KRW","-"
"1258","CHINA NONFERROUS MINING CORPORATIO","Materials","Equity","2,374,734.44","0.14","2,374,734.44","1,633,000.00","1.45","China","Hong Kong Exchanges And Clearing Ltd","USD","7.83","HKD","-"
"ILU","ILUKA RESOURCES LTD","Materials","Equity","2,371,222.05","0.14","2,371,222.05","515,313.00","4.60","Australia","Asx - All Markets","USD","1.45","AUD","-"
"MDKA","MERDEKA COPPER GOLD","Materials","Equity","2,217,549.88","0.13","2,217,549.88","11,647,286.00","0.19","Indonesia","Indonesia Stock Exchange","USD","16,965.00","IDR","-"
"KALU","KAISER ALUMINIUM CORP","Materials","Equity","2,191,418.24","0.13","2,191,418.24","19,129.00","114.56","United States","NASDAQ","USD","1.00","USD","-"
"APAM","APERAM SA","Materials","Equity","2,063,028.93","0.12","2,063,028.93","52,669.00","39.17","France","Euronext Amsterdam","USD","0.87","EUR","-"
"SSAB A","SSAB A","Materials","Equity","1,975,916.73","0.12","1,975,916.73","261,531.00","7.56","Sweden","Nasdaq Omx Nordic","USD","9.46","SEK","-"
"5471","DAIDO STEEL LTD","Materials","Equity","1,942,616.38","0.11","1,942,616.38","158,200.00","12.28","Japan","Tokyo Stock Exchange","USD","160.15","JPY","-"
"5463","MARUICHI STEEL TUBE LTD","Materials","Equity","1,913,353.52","0.11","1,913,353.52","208,800.00","9.16","Japan","Tokyo Stock Exchange","USD","160.15","JPY","-"
"GRNG","GRANGES","Materials","Equity","1,884,423.76","0.11","1,884,423.76","127,276.00","14.81","Sweden","Nasdaq Omx Nordic","USD","9.46","SEK","-"
"BEKB","BEKAERT (D) SA","Materials","Equity","1,842,362.74","0.11","1,842,362.74","40,181.00","45.85","Belgium","Nyse Euronext - Euronext Brussels","USD","0.87","EUR","-"
"HINDCOPPER","HINDUSTAN COPPER LTD","Materials","Equity","1,820,785.67","0.11","1,820,785.67","349,808.00","5.21","India","National Stock Exchange Of India","USD","94.80","INR","-"
"ALLEI","ALLEIMA","Materials","Equity","1,815,098.34","0.11","1,815,098.34","225,682.00","8.04","Sweden","Nasdaq Omx Nordic","USD","9.46","SEK","-"
"600111","CHINA NORTHERN RARE EARTH (GROUP)","Materials","Equity","1,744,136.65","0.10","1,744,136.65","255,169.00","6.84","China","Shanghai Stock Exchange","USD","6.91","CNY","-"
"ARI","AFRICAN RAINBOW MINERAL LTD","Materials","Equity","1,644,031.37","0.10","1,644,031.37","124,882.00","13.16","South Africa","Johannesburg Stock Exchange","USD","17.09","ZAR","-"
"CIA","CHAMPION IRON LTD","Materials","Equity","1,643,809.55","0.10","1,643,809.55","444,378.00","3.70","Australia","Asx - All Markets","USD","1.45","AUD","-"
"NIC","NICKEL INDUSTRIES LTD","Materials","Equity","1,612,241.92","0.09","1,612,241.92","2,600,537.00","0.62","Australia","Asx - All Markets","USD","1.45","AUD","-"
"ALS","ALTIUS MINERALS CORP","Materials","Equity","1,608,831.78","0.09","1,608,831.78","47,732.00","33.71","Canada","Toronto Stock Exchange","USD","1.39","CAD","-"
